이름,성격,직업,외모,사회관계,목표,역할
김두한,정의감 강함,슈퍼히어로,광대 분장,사회에서 소외,복수를 달성,5
김민애,호기심 많음,주먹 대부,평범한 학생의 모습,혼자 싸움,억압받는 자를 해방,10
강강술래,냉소적,범죄자,장발과 얼음 같은 외모,외로운 영웅,억압받는 자를 해방,5
조커,잔인함과 폭력성,암살자,날카로운 얼굴선,배신,세계 지배,0
홍길동,열정적,경찰,근육질 체격,동료들과 돈독함,복수를 달성,10
베지터,잔인함과 폭력성,암살자,날카로운 얼굴선,배신,최강이 되는 것,0
엘사,잔인함과 폭력성,암살자,날렵한 몸매,배신,부자 되기,0
이소은,"정의로움, 동정심 많음",간호사,"밝은표정, 따뜻한 미소",사회적 문제 해결을 위한 협력과 동참,자신의 왕국 지키기,10
1,"정의감 강함, 친절함",탐정,강철 슈트,팀과 협력,정의실현,10
2,이기적이고 욕망에 사로잡힘,학생,날카로운 얼굴선,희생시키거나 조종,부자 되기,0
3,자신감 넘침,주먹 대부,평범한 학생의 모습,가족 중심,진실 밝히기,5
4,"희생적임, 겸손함",판사,안경을 쓴 평범함,동료들과 돈독함,약자 보호,10
5,이기적이고 욕망에 사로잡힘,범죄자,차가운 표정,희생시키거나 조종,부자 되기,0
6,냉소적,범죄자,날카로운 얼굴선,능숙한 전략가,자유를 억제,0
7,열정적,슈퍼히어로,깔끔하고 단정함,사회에서 소외,진실 밝히기,5
8,신중함,변호사,평범한 학생의 모습,혼자 싸움,최강이 되는 것,10
9,"인내심강함, 이타적임",왕,강인한 인상,리더십 있음,사람들을 구함,10
10,책임감 강함,왕,강인한 인상,혼자 싸움,마법의 비밀 파헤치기,5
11,호기심 많음,슈퍼히어로,장발과 얼음 같은 외모,리더십 있음,정의를 실현,5
12,"낙천적임, 정직함",전사,강인한 인상,협력하는 관계,평화유지,10
13,"협력적임, 용서하는 마음",슈퍼히어로,밝고 활기찬 모습,사회적 문제 해결을 위한 적극적인 참여,불평등해소,10
14,"충성심 강함, 공감능력 뛰어남",군인,매력적인 웃음,자신의 경험과 지혜를 나누는 선한 영향력,가족보호,10
15,"리더십있음, 창의적임",의적,시원한 이미지,"부모, 형제, 자녀와의 깊은 유대",사랑하는 사람 보호,10
16,자존심 강함,슈퍼히어로,광대 분장,리더십 있음,혼돈 조장,5
17,"용감함, 공정함",구조대원,강인한 인상,형제자매와 의지,복수를 달성,10
18,복수심에 불타는 성격,사기꾼,차가운 표정,능숙한 전략가,자유를 억제,0
19,복수심에 불타는 성격,범죄자,차가운 표정,능숙한 전략가,자유를 억제,0
20,질투와 시기심이 강함,주먹 대부,신경질적인 표정,고립된 성향,돈과 자원의 독점,0
21,"자비로움, 긍정적",기자,강한 존재감,외로운 영웅,사랑을 전함,10
22,"성실함, 믿음직함",의사,강인한 인상,"부모, 형제, 자녀와의 깊은 유대 있음",자유지킴,10
23,"지혜로움, 결단력있음",교사,날렵한 몸매,사회에서 소외,진실 밝히기,10
24,"이해심높음, 상냥함",발명가,광대 분장,친구들과 연대,희생을통해남을도움,10
25,질투와 시기심이 강함,사기꾼,신경질적인 표정,고립된 성향,돈과 자원의 독점,0
26,"절제력있음, 포용적",철학자,따뜻한 분위기,깊은 우정과 상호 지원,공동체 강화,10
27,"냉소적, 목표지향적",농부,생기 넘치는 얼굴,존경하는 멘토나 지도자와의 관계,인간성회복,10
28,"외향적, 협동심 강함",환경운동가,귀여운 외모,친구들과 연대,악을 물리침,10
29,냉철하고 감정적으로 무감각함,사기꾼,비뚤어진 미소,고립된 성향,권력 장악,0
30,냉철하고 감정적으로 무감각함,정치인,비뚤어진 미소,사람들을 이용함,복수를 달성,0
31,냉철하고 감정적으로 무감각함,슈퍼히어로,날렵한 몸매,동료들과 돈독함,마법의 비밀 파헤치기,5
32,"이상주의적, 낭만적",과학자,조화로운 외모,동료들과 돈독함,고통치유,10
33,호기심 많음,의적,근육질 체격,리더십 있음,억압받는 자를 해방,5
34,"동료애 강함, 격정적",요리사,온화한 표정,리더십 있음,불행한 이들 구원,10
35,"용감함, 단호함",사업가,강인한 인상,사회에서 소외,상처치유,10
36,"선량함, 격려하는 태도",상인,반짝이는 눈동자,리더십 있음,자신의 왕국 지키기,10
37,"사랑이 넘침, 활발함",탐정,여유로운 미소,경쟁 관계,세계 평화,10
38,예민하고 쉽게 격분함,정치인,헝클어진 헤어스타일,사람들을 이용함,권력 장악,0
39,"유머감각 있음, 대담함",수의사,날렵한 몸매,외로운 영웅,정의실현,10
40,예민하고 쉽게 격분함,교주,헝클어진 헤어스타일,사람들을 이용함,권력 장악,0
41,냉소적,전사,강철 슈트,가족 중심,사랑하는 사람 보호,5
42,신중함,기자,장신에 단단한 체격,형제자매와 의지,세계 평화,5
43,열정적,기술자,"평화로운 표정, 강인한 체형",팀과 협력,잘못을바로잡음,10
44,자신감 넘침,왕,광대 분장,경쟁 관계,혼돈 조장,5
45,호기심 많음,학생,강철 슈트,리더십 있음,정의를 실현,5
46,자신감 넘침,의적,장신에 단단한 체격,경쟁 관계,복수를 달성,5
47,"열정적, 진취적",아티스트,청순한 인상,혼자 싸움,진실 밝히기,10
48,용감함,포차 운영자,장발과 얼음 같은 외모,리더십 있음,최강이 되는 것,5
49,비도덕적,교주,기괴한 표정이나 웃음,약자나 민감한 이들을 괴롭힘,특정 인물 파괴,0
50,자존심 강함,범죄자,광대 분장,팀과 협력,최강이 되는 것,5
51,비도덕적,교주,기괴한 표정이나 웃음,약자나 민감한 이들을 괴롭힘,특정 인물 파괴,0
52,"자신감있음, 의지적",서점주인,안경을 쓴 평범함,사회에서 소외,전쟁끝냄,10
53,비도덕적,고위 군인,무표정,약자나 민감한 이들을 괴롭힘,혼돈 조장,0
54,불신과 의심에 가득 찬 사고방식,고위 군인,무표정,약자나 민감한 이들을 괴롭힘,특정 인물 파괴,0
55,불신과 의심에 가득 찬 사고방식,고위 군인,무표정,경쟁 관계,개인적인 승리,0
56,자존심 강함,의적,강인한 인상,동료들과 돈독함,복수를 달성,5
57,정의감 강함,주먹 대부,평범한 학생의 모습,혼자 싸움,최강이 되는 것,5
58,책임감 강함,왕,장발과 얼음 같은 외모,팀과 협력,마법의 비밀 파헤치기,5
59,자신감 넘침,의적,안경을 쓴 평범함,리더십 있음,진실 밝히기,5
60,자존심 강함,독재자,잔인하거나 차가운 눈빛,경쟁 관계,자신의 왕국 지키기,0
61,타인의 고통을 즐기는 경향,독재자,잔인하거나 차가운 눈빛,혼자 싸움,최강이 되는 것,0
62,호기심 많음,포차 운영자,광대 분장,혼자 싸움,마법의 비밀 파헤치기,5
63,신중함,힐러,부드러운 얼굴선,혼자 싸움,불합리한체제파괴,10
64,자신감 넘침,범죄자,안경을 쓴 평범함,외로운 영웅,자신의 왕국 지키기,5
65,타인의 고통을 즐기는 경향,학생,잔인하거나 차가운 눈빛,사회에서 소외,개인적인 승리,0
66,"소탈함, 꾸준함",우주비행사,순수한 외모,외로운 영웅,리더십발휘,10
67,"온화함, 희망적",직장인,부드러운 목소리,가족 중심,억압받는 자를 해방,10
68,외향적,왕,강인한 인상,친구들과 연대,마법의 비밀 파헤치기,5
69,"시간관리 철저, 약속잘지킴",마법사,날렵한 몸매,혼자 싸움,지구보호,10
70,자아도취적인 성격,독재자,어두운 색상의 의상,가족 중심,진실 밝히기,0
71,자아도취적인 성격,악성 해커,어두운 색상의 의상,친구들과 연대,복수를 달성,0
72,호기심 많음,왕,근육질 체격,친구들과 연대,자신의 왕국 지키기,5
73,자아도취적인 성격,기자,어두운 색상의 의상,가족 중심,최고의 존재,0
74,자아도취적인 성격,악성 해커,장발과 얼음 같은 외모,친구들과 연대,최고의 존재,0
75,용감함,슈퍼히어로,어두운 눈빛,동료들과 돈독함,최강이 되는 것,0
76,용감함,포차 운영자,깔끔하고 단정함,사회에서 소외,마법의 비밀 파헤치기,5
77,냉소적,주먹 대부,안경을 쓴 평범함,혼자 싸움,최강이 되는 것,5
78,책임감 강함,의적,광대 분장,혼자 싸움,마법의 비밀 파헤치기,5
79,타인의 약점을 이용,마법사,어두운 눈빛,리더십 있음,최강이 되는 것,0
80,타인의 약점을 이용,무기 밀매상,어두운 눈빛,외로운 영웅,혼돈 조장,0
81,자신감 넘침,무기 밀매상,날렵한 몸매,리더십 있음,반란 일으키기,0
82,문제해결능력 뛰어남,소방관,풍부한 표정,외로운 영웅,진실 밝히기,10
83,"부지런함, 관대함",운동선수,장신에 단단한 체격,팀과 협력,문화예술발전,10
84,"순수함, 수용적",건축가,강철 슈트,혼자 싸움,최강이 되는 것,10
85,고집,해적,무서운 표정,동료들과 돈독함,반란 일으키기,0
86,"고결함, 존중함",교수,장발과 얼음 같은 외모,존경하는 멘토나 지도자와의 관계,평화실현,10
87,정의감 강함,의적,광대 분장,사회에서 소외,억압받는 자를 해방,5
88,"강강약약, 침착함",연구원,날렵한 몸매,팀과 협력,자신의 왕국 지키기,10
89,자신감 넘침,전사,깔끔하고 단정함,외로운 영웅,자신의 왕국 지키기,5
90,고집,부패한 판사,무서운 표정,약자나 민감한 이들을 괴롭힘영웅,반란 일으키기,0
91,책임감 강함,마법사,광대 분장,팀과 협력,자신의 왕국 지키기,5
92,도전정신 강함,엔지니어,"맑은 눈빛, 단정한 머리",팀과 협력,안전지킴,10
